company,color,r,g,b
bareminerals,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-lasting-matte-liquid-lipstick-splendid,171,104,114
beautyact,/beautyact/makeup/lepper/leppestift/beautyact-ultratint-lip-balm-pink-dust,190,91,104
beautyact,/beautyact/makeup/lepper/leppestift/beautyact-ultratint-lip-balm-cherry-blush,191,13,62
beautyact,/beautyact/makeup/lepper/leppestift/beautyact-ultratint-lip-balm-pink-peach,224,128,145
beautyact,/beautyact/makeup/lepper/leppestift/beautyact-ultratint-lip-balm-sheer-plum,120,47,64
beautyact,/beautyact/makeup/lepper/leppestift/beautyact-full-on-satin-lipstick-barely-bare2,230,191,188
beautyact,/beautyact/makeup/lepper/leppestift/beautyact-stay-on-semi-matte-lipstick-time-for-truffles,170,45,45
beautyact,/beautyact/makeup/lepper/leppestift/beautyact-full-on-satin-lipstick-beach-nude2,231,196,175
beautyact,/beautyact/makeup/lepper/leppestift/beautyact-full-on-satin-lipstick-toffee-hour2,209,118,92
beautyact,/beautyact/makeup/lepper/leppestift/beautyact-full-on-satin-lipstick-dusty-pink2,188,102,126
beautyact,/beautyact/makeup/lepper/leppestift/beautyact-stay-on-semi-matte-lipstick-mocha-to-go,184,85,106
beautyact,/beautyact/makeup/lepper/leppestift/beautyact-stay-on-semi-matte-lipstick-its-a-red-for-me,179,11,44
beautyact,/beautyact/makeup/lepper/leppestift/beautyact-stay-on-semi-matte-lipstick-lets-beige-out,254,175,141
benefit,/benefit/makeup/lepper/leppestift/benefit-playtint-cheek-lip-stain,247,247,247
benefit,/benefit/makeup/lepper/leppestift/benefit-plushtint-moisturizing-matte-lip-tint-02-cream-puff,230,142,138
benefit,/benefit/makeup/lepper/leppestift/benefit-plushtint-moisturizing-matte-lip-tint-06-pillow-play,226,135,148
benefit,/benefit/makeup/lepper/leppestift/benefit-plushtint-moisturizing-matte-lip-tint-10-french-toast,197,103,94
benefit,/benefit/makeup/lepper/leppestift/benefit-plushtint-moisturizing-matte-lip-tint-12-purrr,200,94,110
benefit,/benefit/makeup/lepper/leppestift/benefit-splashtint-moisturizing-dewy-lip-tint-21-summer-fling,189,72,78
benefit,/benefit/makeup/lepper/leppestift/benefit-plushtint-velvet-tint-teddy,247,247,247
benefit,/benefit/makeup/lepper/leppestift/benefit-splashtint-moisturizing-dewy-lip-tint-03-fresh-squeezed,241,89,97
