productType,company,brand,color,r,g,b
Lipstick,artdeco,/artdeco/makeup/lepper/leppestift/artdeco-lip-filler-base-2-g,/artdeco/makeup/lepper/leppestift/artdeco-lip-filler-base-2-g,247,247,247
Lipstick,artdeco,/artdeco/makeup/lepper/leppestift/artdeco-lip-filler-base-2-g,/artdeco/makeup/lepper/leppestift/artdeco-perfect-color-lipstick-820-creamy-rosewood,152,85,90
Lipstick,artdeco,/artdeco/makeup/lepper/leppestift/artdeco-perfect-color-lipstick-955-frosted-rose,/artdeco/makeup/lepper/leppestift/artdeco-perfect-color-lipstick-955-frosted-rose,199,117,144
Lipstick,artdeco,/artdeco/makeup/lepper/leppestift/artdeco-perfect-color-lipstick-955-frosted-rose,/artdeco/makeup/lepper/leppestift/artdeco-perfect-color-lipstick-818-perfect-rosewood,163,66,82
Lipstick,artdeco,/artdeco/makeup/lepper/leppestift/artdeco-perfect-color-lipstick-955-frosted-rose,/artdeco/makeup/lepper/leppestift/artdeco-perfect-color-lipstick-830-spring-in-paris,192,124,121
Lipstick,artdeco,/artdeco/makeup/lepper/leppestift/artdeco-perfect-color-lipstick-955-frosted-rose,/artdeco/makeup/lepper/leppestift/artdeco-hydra-care-lipstick-02-charming-oasis,230,148,181
Lipstick,artdeco,/artdeco/makeup/lepper/leppestift/artdeco-hydra-care-lipstick-02-charming-oasis,/artdeco/makeup/lepper/leppestift/artdeco-hydra-care-lipstick-04-bilberry-oasis,152,86,113
Lipstick,artdeco,/artdeco/makeup/lepper/leppestift/artdeco-hydra-care-lipstick-02-charming-oasis,/artdeco/makeup/lepper/leppestift/artdeco-hydra-care-lipstick-06-precious-oasis,182,77,91
Lipstick,artdeco,/artdeco/makeup/lepper/leppestift/artdeco-hydra-care-lipstick-02-charming-oasis,/artdeco/makeup/lepper/leppestift/artdeco-hydra-care-lipstick-10-berry-oasis,200,85,95
Lipstick,babor,/babor/makeup/lepper/leppestift/babor-creamy-lipstick-08-gin-juice,/babor/makeup/lepper/leppestift/babor-creamy-lipstick-08-gin-juice,225,135,125
Lipstick,babor,/babor/makeup/lepper/leppestift/babor-creamy-lipstick-08-gin-juice,/babor/makeup/lepper/leppestift/babor-creamy-lipstick-09-baby-doll,176,128,118
Lipstick,babor,/babor/makeup/lepper/leppestift/babor-creamy-lipstick-08-gin-juice,/babor/makeup/lepper/leppestift/babor-creamy-lipstick-07-summer-rose,166,114,127
Lipstick,babor,/babor/makeup/lepper/leppestift/babor-creamy-lipstick-08-gin-juice,/babor/makeup/lepper/leppestift/babor-creamy-lipstick-03-metallic-pink,196,129,143
Lipstick,babor,/babor/makeup/lepper/leppestift/babor-creamy-lipstick-08-gin-juice,/babor/makeup/lepper/leppestift/babor-eternal-grace-lipstick-04-in-love-with-grace,247,247,247
Lipstick,babor,/babor/makeup/lepper/leppestift/babor-creamy-lipstick-08-gin-juice,/babor/makeup/lepper/leppestift/babor-matte-lipstick-12-so-natural,151,92,91
Lipstick,babor,/babor/makeup/lepper/leppestift/babor-matte-lipstick-12-so-natural,/babor/makeup/lepper/leppestift/babor-matte-lipstick-11-very-cherry,185,25,11
Lipstick,babor,/babor/makeup/lepper/leppestift/babor-matte-lipstick-12-so-natural,/babor/makeup/lepper/leppestift/babor-matte-lipstick-13-lovely-cream-rose,160,115,102
Lipstick,babor,/babor/makeup/lepper/leppestift/babor-matte-lipstick-12-so-natural,/babor/makeup/lepper/leppestift/babor-matte-lipstick-14-light-mauve,176,126,125
Lipstick,babor,/babor/makeup/lepper/leppestift/babor-eternal-grace-lipstick-04-in-love-with-grace,/babor/makeup/lepper/leppestift/babor-eternal-grace-lipstick-01-on-the-beach,247,247,247
Lipstick,babor,/babor/makeup/lepper/leppestift/babor-eternal-grace-lipstick-04-in-love-with-grace,/babor/makeup/lepper/leppestift/babor-eternal-grace-lipstick-02-breakfast-with-audrey,247,247,247
Lipstick,babor,/babor/makeup/lepper/leppestift/babor-eternal-grace-lipstick-04-in-love-with-grace,/babor/makeup/lepper/leppestift/babor-eternal-grace-lipstick-03-diamonds-for-marilyn,247,247,247
Lipstick,bareminerals,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-hydra-smoothing-lipstick-honesty,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-hydra-smoothing-lipstick-honesty,182,80,105
Lipstick,bareminerals,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-hydra-smoothing-lipstick-honesty,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-hydra-smoothing-lipstick-grace,211,122,122
Lipstick,bareminerals,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-hydra-smoothing-lipstick-honesty,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-hydra-smoothing-lipstick-perception,112,33,43
Lipstick,bareminerals,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-hydra-smoothing-lipstick-honesty,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-hydra-smoothing-lipstick-confidence,182,80,105
Lipstick,bareminerals,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-hydra-smoothing-lipstick-honesty,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-lasting-matte-liquid-lipstick-determined,165,83,60
Lipstick,bareminerals,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-lasting-matte-liquid-lipstick-determined,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-lasting-matte-liquid-lipstick-influential,206,123,124
Lipstick,bareminerals,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-lasting-matte-liquid-lipstick-determined,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-lasting-matte-liquid-lipstick-lucky,180,109,98
Lipstick,bareminerals,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-lasting-matte-liquid-lipstick-determined,/bareminerals/makeup/lepper/leppestift/bareminerals-mineralist-lasting-matte-liquid-lipstick-splendid,171,104,114
Lipstick,beautyact,/beautyact/makeup/lepper/leppestift/beautyact-ultratint-lip-balm-pink-dust,/beautyact/makeup/lepper/leppestift/beautyact-ultratint-lip-balm-pink-dust,190,91,104
Lipstick,beautyact,/beautyact/makeup/lepper/leppestift/beautyact-ultratint-lip-balm-pink-dust,/beautyact/makeup/lepper/leppestift/beautyact-ultratint-lip-balm-cherry-blush,191,13,62
Lipstick,beautyact,/beautyact/makeup/lepper/leppestift/beautyact-ultratint-lip-balm-pink-dust,/beautyact/makeup/lepper/leppestift/beautyact-ultratint-lip-balm-pink-peach,224,128,145
Lipstick,beautyact,/beautyact/makeup/lepper/leppestift/beautyact-ultratint-lip-balm-pink-dust,/beautyact/makeup/lepper/leppestift/beautyact-ultratint-lip-balm-sheer-plum,120,47,64
Lipstick,beautyact,/beautyact/makeup/lepper/leppestift/beautyact-ultratint-lip-balm-pink-dust,/beautyact/makeup/lepper/leppestift/beautyact-full-on-satin-lipstick-barely-bare2,230,191,188
Lipstick,beautyact,/beautyact/makeup/lepper/leppestift/beautyact-ultratint-lip-balm-pink-dust,/beautyact/makeup/lepper/leppestift/beautyact-stay-on-semi-matte-lipstick-time-for-truffles,170,45,45
Lipstick,beautyact,/beautyact/makeup/lepper/leppestift/beautyact-full-on-satin-lipstick-barely-bare2,/beautyact/makeup/lepper/leppestift/beautyact-full-on-satin-lipstick-beach-nude2,231,196,175
Lipstick,beautyact,/beautyact/makeup/lepper/leppestift/beautyact-full-on-satin-lipstick-barely-bare2,/beautyact/makeup/lepper/leppestift/beautyact-full-on-satin-lipstick-toffee-hour2,209,118,92
Lipstick,beautyact,/beautyact/makeup/lepper/leppestift/beautyact-full-on-satin-lipstick-barely-bare2,/beautyact/makeup/lepper/leppestift/beautyact-full-on-satin-lipstick-dusty-pink2,188,102,126
